epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.17282,1.88309,12.8029,1.48086,0.03415,0.5,0.08015,0.01835,2.24348,3.54148,2.13419,3.333e-05,3.333e-05,3.333e-05
2,3.14699,2.29106,3.92703,1.9939,0.03493,0.57143,0.0883,0.02509,2.24331,3.52407,2.15724,7.7385e-05,7.7385e-05,7.7385e-05
3,4.07607,2.03752,3.88627,1.85387,0.03383,0.64286,0.12771,0.04972,2.20312,3.54579,2.28367,0.000121,0.000121,0.000121
4,5.05005,2.14238,4.05158,2.0005,0.03226,0.71429,0.14699,0.05635,2.18239,3.5847,2.30364,0.000164175,0.000164175,0.000164175
5,5.98319,1.91843,3.91312,1.73497,0.02744,0.64286,0.18535,0.08254,1.98731,3.47686,2.13376,0.00020691,0.00020691,0.00020691
6,6.98779,1.67718,3.71628,1.56309,0.03235,0.78571,0.23829,0.08856,1.81681,3.44122,1.91795,0.000249206,0.000249206,0.000249206
7,7.93472,1.74884,3.80904,1.46858,0.03116,0.78571,0.25071,0.10562,1.76861,3.41622,1.84683,0.000291061,0.000291061,0.000291061
8,9.03225,1.81281,3.88116,1.72271,0.03254,0.78571,0.20914,0.10229,1.84504,3.39314,1.93373,0.000332476,0.000332476,0.000332476
9,9.94189,1.58971,3.52527,1.4684,0.03293,0.78571,0.17861,0.09236,1.8946,3.41334,2.02707,0.000373452,0.000373452,0.000373452
10,10.8367,1.63264,3.82304,1.56343,0.03293,0.78571,0.17861,0.09236,1.8946,3.41334,2.02707,0.000413987,0.000413987,0.000413987
11,11.8125,1.60177,3.6279,1.42419,0.03448,0.78571,0.27285,0.12347,1.80719,3.44077,1.94092,0.000454082,0.000454082,0.000454082
12,12.7956,1.56429,3.55569,1.43623,0.03236,0.71429,0.22798,0.1207,1.78963,3.41131,1.92901,0.000493738,0.000493738,0.000493738
13,13.7578,1.58001,3.61625,1.41911,0.03236,0.71429,0.22798,0.1207,1.78963,3.41131,1.92901,0.000532953,0.000532953,0.000532953
14,14.7131,1.39369,3.69308,1.41478,0.04104,0.78571,0.29925,0.14827,1.87843,3.38651,1.88555,0.000571729,0.000571729,0.000571729
15,15.6079,1.43512,3.34132,1.32377,0.04104,0.78571,0.29925,0.14827,1.87843,3.38651,1.88555,0.000610065,0.000610065,0.000610065
16,16.5708,1.47358,3.40696,1.32733,0.04527,0.78571,0.31089,0.17692,1.96179,3.33537,1.98363,0.00064796,0.00064796,0.00064796
17,17.4948,1.48284,3.72058,1.47128,0.04527,0.78571,0.31089,0.17692,1.96179,3.33537,1.98363,0.000685416,0.000685416,0.000685416
18,18.442,1.4983,3.28074,1.40423,0.05607,0.85714,0.36983,0.19496,1.90572,3.30053,1.97727,0.000722432,0.000722432,0.000722432
19,19.3813,1.40853,3.26179,1.40752,0.05607,0.85714,0.36983,0.19496,1.90572,3.30053,1.97727,0.000759007,0.000759007,0.000759007
20,20.5944,1.50195,3.2504,1.4457,0.05607,0.85714,0.36983,0.19496,1.90572,3.30053,1.97727,0.000795143,0.000795143,0.000795143
21,21.5753,1.44156,3.08545,1.35866,0.0582,0.78571,0.39942,0.21382,1.93707,3.20804,1.97325,0.000830839,0.000830839,0.000830839
22,22.4857,1.50738,3.22386,1.43989,0.0582,0.78571,0.39942,0.21382,1.93707,3.20804,1.97325,0.000866095,0.000866095,0.000866095
23,23.407,1.43153,3.07715,1.35597,0.0582,0.78571,0.39942,0.21382,1.93707,3.20804,1.97325,0.000900911,0.000900911,0.000900911
24,24.3698,1.48405,2.94304,1.31714,0.05348,0.71429,0.34782,0.11339,2.20059,3.24443,2.04542,0.000935287,0.000935287,0.000935287
25,25.2954,1.43631,3.00433,1.34756,0.05348,0.71429,0.34782,0.11339,2.20059,3.24443,2.04542,0.000969223,0.000969223,0.000969223
26,26.1569,1.47602,2.82342,1.44108,0.05348,0.71429,0.34782,0.11339,2.20059,3.24443,2.04542,0.000973514,0.000973514,0.000973514
27,27.1145,1.41507,2.74074,1.43059,0.50537,0.42857,0.46077,0.20907,1.94795,2.97885,1.89207,0.000968014,0.000968014,0.000968014
28,28.0076,1.3978,4.07917,1.48355,0.50537,0.42857,0.46077,0.20907,1.94795,2.97885,1.89207,0.000962515,0.000962515,0.000962515
29,28.895,1.35977,2.87133,1.35627,0.50537,0.42857,0.46077,0.20907,1.94795,2.97885,1.89207,0.000957015,0.000957015,0.000957015
30,29.81,1.43158,2.84492,1.40649,1,0.26861,0.50364,0.23381,1.89991,2.73779,1.89945,0.000951516,0.000951516,0.000951516
31,32.9012,1.4223,2.93943,1.53204,1,0.26861,0.50364,0.23381,1.89991,2.73779,1.89945,0.000946016,0.000946016,0.000946016
32,34.4195,1.47954,2.87111,1.41179,1,0.26861,0.50364,0.23381,1.89991,2.73779,1.89945,0.000940517,0.000940517,0.000940517
33,35.9716,1.45572,3.53654,1.54153,0.94136,0.35714,0.49437,0.2083,2.08127,2.57322,1.99265,0.000935018,0.000935018,0.000935018
34,37.7193,1.31106,2.8651,1.34736,0.94136,0.35714,0.49437,0.2083,2.08127,2.57322,1.99265,0.000929518,0.000929518,0.000929518
35,39.1369,1.41652,2.82136,1.43301,0.94136,0.35714,0.49437,0.2083,2.08127,2.57322,1.99265,0.000924019,0.000924019,0.000924019
36,40.43,1.45363,3.06251,1.54167,0.94136,0.35714,0.49437,0.2083,2.08127,2.57322,1.99265,0.000918519,0.000918519,0.000918519
37,41.7157,1.25064,2.50515,1.33827,0.97864,0.35714,0.48262,0.21409,2.04842,2.47898,2.01122,0.00091302,0.00091302,0.00091302
38,42.857,1.24679,2.49519,1.30478,0.97864,0.35714,0.48262,0.21409,2.04842,2.47898,2.01122,0.00090752,0.00090752,0.00090752
39,44.194,1.40662,2.67651,1.40172,0.97864,0.35714,0.48262,0.21409,2.04842,2.47898,2.01122,0.000902021,0.000902021,0.000902021
40,45.5985,1.40934,2.66917,1.39452,0.39051,0.4587,0.40312,0.1764,2.03291,2.33928,2.04842,0.000896521,0.000896521,0.000896521
41,47.0734,1.39674,2.55866,1.43783,0.39051,0.4587,0.40312,0.1764,2.03291,2.33928,2.04842,0.000891022,0.000891022,0.000891022
42,48.7582,1.41399,2.65637,1.35886,0.39051,0.4587,0.40312,0.1764,2.03291,2.33928,2.04842,0.000885523,0.000885523,0.000885523
43,50.5297,1.39289,2.50291,1.37903,0.55231,0.28571,0.31611,0.13242,2.17406,2.42269,2.1206,0.000880023,0.000880023,0.000880023
44,52.3485,1.2777,2.37524,1.39139,0.55231,0.28571,0.31611,0.13242,2.17406,2.42269,2.1206,0.000874524,0.000874524,0.000874524
45,55.2552,1.27422,2.61945,1.26679,0.55231,0.28571,0.31611,0.13242,2.17406,2.42269,2.1206,0.000869024,0.000869024,0.000869024
46,59.1632,1.30255,2.65343,1.44323,0.65269,0.28571,0.3368,0.14263,2.25389,2.37532,2.20795,0.000863525,0.000863525,0.000863525
47,61.0658,1.28148,2.41349,1.35806,0.65269,0.28571,0.3368,0.14263,2.25389,2.37532,2.20795,0.000858025,0.000858025,0.000858025
48,63.0317,1.36009,2.35904,1.35556,0.65269,0.28571,0.3368,0.14263,2.25389,2.37532,2.20795,0.000852526,0.000852526,0.000852526
49,66.5688,1.27157,2.39653,1.27901,0.65269,0.28571,0.3368,0.14263,2.25389,2.37532,2.20795,0.000847026,0.000847026,0.000847026
50,70.0052,1.33714,2.32514,1.41148,0.70096,0.35714,0.43724,0.19945,2.11157,2.52771,2.16084,0.000841527,0.000841527,0.000841527
51,72.2954,1.31476,2.31883,1.31429,0.70096,0.35714,0.43724,0.19945,2.11157,2.52771,2.16084,0.000836027,0.000836027,0.000836027
52,73.8529,1.30993,2.40313,1.29508,0.70096,0.35714,0.43724,0.19945,2.11157,2.52771,2.16084,0.000830528,0.000830528,0.000830528
53,75.9471,1.25734,2.26278,1.24181,0.5759,0.57143,0.54327,0.21609,2.13906,2.35454,2.24949,0.000825029,0.000825029,0.000825029
54,78.017,1.28475,2.18629,1.30421,0.5759,0.57143,0.54327,0.21609,2.13906,2.35454,2.24949,0.000819529,0.000819529,0.000819529
55,80.303,1.24036,2.53547,1.29159,0.5759,0.57143,0.54327,0.21609,2.13906,2.35454,2.24949,0.00081403,0.00081403,0.00081403
56,82.1324,1.32839,3.49569,1.35615,0.54546,0.42857,0.44718,0.18561,1.9639,2.55176,2.14068,0.00080853,0.00080853,0.00080853
57,83.6503,1.20412,2.1605,1.32922,0.54546,0.42857,0.44718,0.18561,1.9639,2.55176,2.14068,0.000803031,0.000803031,0.000803031
58,84.981,1.26186,2.06134,1.22501,0.54546,0.42857,0.44718,0.18561,1.9639,2.55176,2.14068,0.000797531,0.000797531,0.000797531
59,86.4404,1.15474,2.39089,1.30015,0.37412,0.35714,0.377,0.16624,1.88406,2.65452,2.0333,0.000792032,0.000792032,0.000792032
60,87.8867,1.20938,2.02604,1.26805,0.37412,0.35714,0.377,0.16624,1.88406,2.65452,2.0333,0.000786532,0.000786532,0.000786532
61,89.1497,1.31908,2.85137,1.33654,0.37412,0.35714,0.377,0.16624,1.88406,2.65452,2.0333,0.000781033,0.000781033,0.000781033
62,90.5603,1.26003,2.12288,1.23585,0.37412,0.35714,0.377,0.16624,1.88406,2.65452,2.0333,0.000775534,0.000775534,0.000775534
63,92.0669,1.19075,2.21815,1.27504,0.46539,0.35714,0.41228,0.17946,1.94991,2.66226,2.08205,0.000770034,0.000770034,0.000770034
64,93.5971,1.24052,2.13333,1.24003,0.46539,0.35714,0.41228,0.17946,1.94991,2.66226,2.08205,0.000764535,0.000764535,0.000764535
65,95.2836,1.19212,2.27275,1.34014,0.46539,0.35714,0.41228,0.17946,1.94991,2.66226,2.08205,0.000759035,0.000759035,0.000759035
66,96.896,1.18528,2.38314,1.25127,0.49953,0.35714,0.39921,0.17914,2.09009,2.57678,2.2372,0.000753536,0.000753536,0.000753536
67,98.7089,1.14945,1.9779,1.25875,0.49953,0.35714,0.39921,0.17914,2.09009,2.57678,2.2372,0.000748036,0.000748036,0.000748036
68,100.444,1.41373,4.03297,1.45058,0.49953,0.35714,0.39921,0.17914,2.09009,2.57678,2.2372,0.000742537,0.000742537,0.000742537
69,102.291,1.16588,2.08564,1.1948,0.49845,0.42614,0.45964,0.19545,2.09502,2.54258,2.27389,0.000737037,0.000737037,0.000737037
70,104.074,1.36193,3.08659,1.55788,0.49845,0.42614,0.45964,0.19545,2.09502,2.54258,2.27389,0.000731538,0.000731538,0.000731538
71,106.557,1.13199,2.04635,1.23127,0.49845,0.42614,0.45964,0.19545,2.09502,2.54258,2.27389,0.000726038,0.000726038,0.000726038
72,108.684,1.13913,2.32133,1.24254,0.51831,0.38591,0.44769,0.21034,1.95297,2.39323,2.12547,0.000720539,0.000720539,0.000720539
73,110.913,1.16287,2.39538,1.3301,0.51831,0.38591,0.44769,0.21034,1.95297,2.39323,2.12547,0.00071504,0.00071504,0.00071504
74,112.866,1.17875,1.93469,1.23379,0.51831,0.38591,0.44769,0.21034,1.95297,2.39323,2.12547,0.00070954,0.00070954,0.00070954
75,114.74,1.09643,1.95384,1.18491,0.51831,0.38591,0.44769,0.21034,1.95297,2.39323,2.12547,0.000704041,0.000704041,0.000704041
76,118.991,1.01872,3.57167,1.21324,0.47961,0.5,0.44077,0.21559,2.00431,2.24725,2.15817,0.000698541,0.000698541,0.000698541
77,123.761,1.17923,1.88772,1.21942,0.47961,0.5,0.44077,0.21559,2.00431,2.24725,2.15817,0.000693042,0.000693042,0.000693042
78,126.974,1.18803,2.52128,1.28043,0.47961,0.5,0.44077,0.21559,2.00431,2.24725,2.15817,0.000687542,0.000687542,0.000687542
79,129.879,1.09786,2.02541,1.19112,0.68601,0.35714,0.41109,0.21225,2.08487,2.18697,2.27249,0.000682043,0.000682043,0.000682043
80,133.057,1.08208,2.04208,1.17851,0.68601,0.35714,0.41109,0.21225,2.08487,2.18697,2.27249,0.000676543,0.000676543,0.000676543
81,134.88,1.07673,1.80363,1.16207,0.68601,0.35714,0.41109,0.21225,2.08487,2.18697,2.27249,0.000671044,0.000671044,0.000671044
82,139.542,1.10425,1.93193,1.18629,0.57982,0.42857,0.42365,0.18312,2.25265,2.17729,2.52519,0.000665545,0.000665545,0.000665545
83,144.378,1.11779,1.89209,1.19525,0.57982,0.42857,0.42365,0.18312,2.25265,2.17729,2.52519,0.000660045,0.000660045,0.000660045
84,147.713,1.00597,1.75008,1.11312,0.57982,0.42857,0.42365,0.18312,2.25265,2.17729,2.52519,0.000654546,0.000654546,0.000654546
85,150.325,0.83331,16.1014,0.90823,0.50182,0.36,0.41933,0.19292,2.25913,2.22598,2.54782,0.000649046,0.000649046,0.000649046
86,152.237,1.13586,2.08854,1.28888,0.50182,0.36,0.41933,0.19292,2.25913,2.22598,2.54782,0.000643547,0.000643547,0.000643547
87,153.981,1.0173,1.88634,1.15479,0.50182,0.36,0.41933,0.19292,2.25913,2.22598,2.54782,0.000638047,0.000638047,0.000638047
88,155.822,1.13371,2.35323,1.21179,0.50182,0.36,0.41933,0.19292,2.25913,2.22598,2.54782,0.000632548,0.000632548,0.000632548
89,158.275,1.07542,1.67125,1.14907,0.47621,0.42857,0.46336,0.1958,2.16695,2.19154,2.3704,0.000627048,0.000627048,0.000627048
90,160.848,1.06394,3.23722,1.27903,0.47621,0.42857,0.46336,0.1958,2.16695,2.19154,2.3704,0.000621549,0.000621549,0.000621549
91,162.384,1.04716,1.88101,1.18062,0.47621,0.42857,0.46336,0.1958,2.16695,2.19154,2.3704,0.000616049,0.000616049,0.000616049
92,163.901,1.10666,2.10754,1.1644,0.36794,0.5,0.45697,0.18976,2.15581,2.20131,2.22155,0.00061055,0.00061055,0.00061055
93,165.701,0.97697,1.88809,1.15247,0.36794,0.5,0.45697,0.18976,2.15581,2.20131,2.22155,0.000605051,0.000605051,0.000605051
94,167.231,0.99689,1.78377,1.11043,0.36794,0.5,0.45697,0.18976,2.15581,2.20131,2.22155,0.000599551,0.000599551,0.000599551
95,169.317,1.12312,2.19923,1.2047,0.42062,0.5,0.48293,0.23248,2.07995,2.13061,2.25397,0.000594052,0.000594052,0.000594052
96,171.104,1.12418,1.92029,1.16317,0.42062,0.5,0.48293,0.23248,2.07995,2.13061,2.25397,0.000588552,0.000588552,0.000588552
97,172.79,0.97158,1.81784,1.08585,0.42062,0.5,0.48293,0.23248,2.07995,2.13061,2.25397,0.000583053,0.000583053,0.000583053
98,175.111,0.99141,2.01393,1.15885,0.62914,0.57143,0.54691,0.25244,2.09237,2.00388,2.32576,0.000577553,0.000577553,0.000577553
